name,temperature,feels_like,humidity,wind,wind_gust,dew_point,wind_direction,pressure_relative,pressure_absolute,uvi,created_at
"Monte hermoson 2",15.3,15.3,87,4,4.5,15.3,NE,1012.4,1018.2,0,"2023-10-21 02:57:01"
"STE - Ciupac",15.2,15.2,88,4.7,4.5,15.2,E,1008.4,1018.5,0,"2023-10-21 02:57:02"
"SCLE - Ciupac",15.3,15.3,87,4,4.5,15.3,NE,1012.4,1018.2,0,"2023-10-21 02:57:03"
"MDA - Ciupac",14.9,14.9,87,4,3.4,14.9,S,1014.1,1017.5,0,"2023-10-21 02:57:04"
"CN - Ciupac",13.5,13.5,91,2.9,2.2,13.5,NE,1008.4,1017.8,0,"2023-10-21 02:57:05"
"BHI - Ciupac",19.6,19.6,56,5,3.4,19.6,E,1010.7,1009.7,0,"2023-10-21 02:57:06"
"GAVIOTAS - Ciupac",14.2,14.2,89,4.7,3.4,14.2,NE,1012.1,1017.8,0,"2023-10-21 02:57:07"
"Monte hermoson 2",15.3,15.3,88,13.4,11.4,15.3,NE,1012.8,1018.5,0,"2023-10-21 02:58:02"
"STE - Ciupac",15.2,15.2,88,3.5,4.5,15.2,SSW,1008.4,1018.5,0,"2023-10-21 02:58:03"
"SCLE - Ciupac",15.3,15.3,88,13.4,11.4,15.3,NE,1012.8,1018.5,0,"2023-10-21 02:58:04"
"MDA - Ciupac",14.9,14.9,87,2.6,3.4,14.9,N,1014.1,1017.5,0,"2023-10-21 02:58:05"
"CN - Ciupac",13.5,13.5,91,2.1,2.2,13.5,N,1008.4,1017.8,0,"2023-10-21 02:58:07"
"BHI - Ciupac",19.6,19.6,56,5.5,5.8,19.6,ENE,1010.7,1009.7,0,"2023-10-21 02:58:08"
"GAVIOTAS - Ciupac",14.2,14.2,89,7.9,6.9,14.2,N,1011.7,1017.5,0,"2023-10-21 02:58:09"
"Monte hermoson 2",15.3,15.3,87,5.5,10.3,15.3,ENE,1012.8,1018.5,0,"2023-10-21 02:59:02"
"STE - Ciupac",15.2,15.2,88,3.5,4.5,15.2,SSW,1008.4,1018.5,0,"2023-10-21 02:59:03"
"SCLE - Ciupac",15.3,15.3,87,5.5,10.3,15.3,ENE,1012.8,1018.5,0,"2023-10-21 02:59:04"
"MDA - Ciupac",14.9,14.9,87,2.1,2.2,14.9,SW,1014.1,1017.5,0,"2023-10-21 02:59:05"
"CN - Ciupac",13.5,13.5,91,4.3,3.4,13.5,NNW,1008.4,1017.8,0,"2023-10-21 02:59:06"
"BHI - Ciupac",19.6,19.6,56,10.5,8.1,19.6,ENE,1011.1,1010,0,"2023-10-21 02:59:07"
"GAVIOTAS - Ciupac",14.2,14.2,89,7.6,6.9,14.2,NNE,1012.1,1018.2,0,"2023-10-21 02:59:08"
"Monte hermoson 2",15.3,15.3,87,5.5,8.1,15.3,N,1012.4,1018.2,0,"2023-10-21 03:00:02"
"STE - Ciupac",15.2,15.2,88,3.5,4.5,15.2,SSW,1008.4,1018.5,0,"2023-10-21 03:00:03"
"SCLE - Ciupac",15.3,15.3,87,5.5,8.1,15.3,N,1012.4,1018.2,0,"2023-10-21 03:00:04"
"MDA - Ciupac",14.9,14.9,88,4,3.4,14.9,NNE,1014.4,1017.5,0,"2023-10-21 03:00:05"
"CN - Ciupac",13.5,13.5,91,4.7,4.5,13.5,NNW,1008.4,1018.2,0,"2023-10-21 03:00:06"
"BHI - Ciupac",19.6,19.6,56,7.9,6.9,19.6,ENE,1010.7,1009.7,0,"2023-10-21 03:00:07"
"GAVIOTAS - Ciupac",14.2,14.2,89,7.9,5.8,14.2,ENE,1011.7,1017.5,0,"2023-10-21 03:00:08"
"Monte hermoson 2",15.3,15.3,88,5,6.9,15.3,NE,1012.8,1018.8,0,"2023-10-21 03:01:02"
"STE - Ciupac",15.2,15.2,88,3.5,4.5,15.2,SSW,1008.4,1018.5,0,"2023-10-21 03:01:03"
"SCLE - Ciupac",15.3,15.3,88,5,6.9,15.3,NE,1012.8,1018.8,0,"2023-10-21 03:01:04"
"MDA - Ciupac",14.9,14.9,88,6.4,8.1,14.9,ENE,1014.1,1017.5,0,"2023-10-21 03:01:05"
"CN - Ciupac",13.5,13.5,91,4,3.4,13.5,NW,1008.4,1017.8,0,"2023-10-21 03:01:06"
"BHI - Ciupac",19.6,19.6,56,10.1,9.2,19.6,W,1010.7,1009.7,0,"2023-10-21 03:01:07"
"GAVIOTAS - Ciupac",14.2,14.2,89,9.7,8.1,14.2,NE,1012.1,1017.8,0,"2023-10-21 03:01:08"
"Monte hermoson 2",15.3,15.3,87,5.5,4.5,15.3,NE,1012.4,1018.5,0,"2023-10-21 03:02:01"
"STE - Ciupac",15.2,15.2,88,3.5,4.5,15.2,SSW,1008.4,1018.5,0,"2023-10-21 03:02:02"
"SCLE - Ciupac",15.3,15.3,87,5.5,4.5,15.3,NE,1012.4,1018.5,0,"2023-10-21 03:02:03"
"MDA - Ciupac",14.9,14.9,88,6.4,8.1,14.9,ENE,1014.1,1017.5,0,"2023-10-21 03:02:04"
